Position,Gross
INTERVENTION SPECIALIST; TEACHER,"$118,776.68"
ADMIN; ASST DIRECTOR STRS,"$118,770.40"
ADMIN; ES & MS PRINCIPAL,"$118,758.50"
TEACHER,"$118,681.68"
TEACHER,"$118,657.18"
TEACHER,"$118,656.11"
TEACHER,"$118,617.36"
TEACHER,"$118,617.36"
TEACHER,"$118,617.36"
TEACHER,"$118,512.93"
TEACHER,"$118,490.93"
ADMIN; ES & MS PRINCIPAL,"$118,346.60"
INTERVENTION SPECIALIST; TEACHER,"$118,243.64"
EL SPECIALIST; TEACHER,"$118,179.00"
TEACHER,"$118,119.04"
TEACHER,"$118,088.61"
TEACHER,"$118,061.11"
TEACHER,"$118,042.36"
TEACHER,"$117,972.36"
TEACHER,"$117,943.50"
TEACHER,"$117,867.36"
TEACHER,"$117,851.11"
TEACHER,"$117,842.36"
TEACHER,"$117,842.36"
TEACHER,"$117,817.36"
TEACHER,"$117,817.36"
TEACHER,"$117,817.36"
INTERVENTION SPECIALIST; TEACHER,"$117,689.86"
GUIDANCE COUNSELOR HS 200,"$117,681.87"
TEACHER,"$117,622.42"
TEACHER,"$117,615.63"
TEACHER,"$117,587.68"
TEACHER,"$117,577.93"
GUIDANCE COUNSELOR MS 197; TEACHER,"$117,425.50"
EL SPECIALIST,"$117,417.36"
INTERVENTION SPECIALIST,"$117,417.36"
INTERVENTION SPECIALIST,"$117,417.36"
TEACHER,"$117,341.64"
INTERVENTION SPECIALIST; TEACHER,"$117,299.28"
TEACHER,"$117,239.35"
TEACHER,"$117,081.68"
TEACHER,"$117,028.43"
ADMIN; ES & MS PRINCIPAL,"$116,707.50"
TEACHER,"$116,662.93"
TEACHER,"$116,553.68"
LITERACY SPECIALIST; TEACHER,"$116,493.00"
TEACHER,"$116,476.18"
GUIDANCE COUNSELOR HS 200; TEACHER,"$116,327.67"
TEACHER,"$116,295.93"
TEACHER,"$116,100.63"
TEACHER,"$116,076.18"
TEACHER,"$116,061.68"
TEACHER,"$115,996.18"
TEACHER,"$115,992.78"
TEACHER,"$115,991.48"
TEACHER,"$115,894.43"
LIBRARY/MEDIA SPC ES; TEACHER,"$115,833.03"
TEACHER,"$115,784.78"
INTERVENTION SPECIALIST; TEACHER,"$115,763.68"
TEACHER,"$115,763.68"
TEACHER,"$115,763.68"
TEACHER,"$115,763.68"
INTERVENTION SPECIALIST; TEACHER,"$115,763.68"
TEACHER,"$115,763.68"
TEACHER,"$115,763.68"
TEACHER,"$115,763.68"
EL SPECIALIST; TEACHER,"$115,763.68"
TEACHER,"$115,665.00"
TEACHER,"$115,565.64"
TEACHER,"$115,551.18"
TEACHER,"$115,526.64"
TEACHER,"$115,501.18"
ADMIN; ASST DIRECTOR STRS,"$115,438.90"
TEACHER,"$115,295.57"
TEACHER,"$115,204.68"
TEACHER,"$115,074.72"
TEACHER,"$115,063.68"
TEACHER,"$115,016.18"
TEACHER,"$114,963.68"
TEACHER,"$114,963.68"
TEACHER,"$114,871.64"
TEACHER,"$114,791.14"
TEACHER,"$114,642.00"
TEACHER,"$114,641.18"
GUIDANCE COUNSELOR HS 200; TEACHER,"$114,635.48"
INTERVENTION SPECIALIST,"$114,563.68"
INTERVENTION SPECIALIST,"$114,563.68"
EL SPECIALIST,"$114,563.67"
ADMIN; ES & MS PRINCIPAL,"$114,555.40"
ADMIN; HS PRINCIPAL,"$114,545.50"
TEACHER,"$114,374.28"
TEACHER,"$114,250.25"
LITERACY SPECIALIST; TEACHER,"$114,123.39"
INTERVENTION SPECIALIST; TEACHER,"$114,116.00"
TEACHER,"$113,997.46"
TEACHER,"$113,991.00"
TEACHER,"$113,939.78"
TEACHER,"$113,892.00"
TEACHER,"$113,861.25"
TEACHER,"$113,837.00"
TEACHER,"$113,824.39"
TEACHER,"$113,816.25"
TEACHER,"$113,715.00"
ADMIN; ES & MS PRINCIPAL,"$113,699.10"
TEACHER,"$113,683.00"
TEACHER,"$113,672.54"
TEACHER,"$113,612.67"
LIBRARY/MEDIA SPC ES; TEACHER,"$113,586.13"
TEACHER,"$113,542.39"
TEACHER,"$113,516.89"
TEACHER,"$113,486.64"
TEACHER,"$113,438.29"
TEACHER,"$113,400.14"
TEACHER,"$113,384.29"
GUIDANCE COUNSELOR HS 200,"$113,368.64"
EL SPECIALIST; TEACHER,"$113,360.00"
TEACHER,"$113,350.32"
TEACHER,"$113,341.00"
EL SPECIALIST; TEACHER,"$113,180.00"
TEACHER,"$113,179.00"
TEACHER,"$113,177.50"
EL SPECIALIST; TEACHER,"$113,142.50"
CLAS-NON; NETWORK SPECIALIST,"$113,131.14"
TEACHER,"$113,078.50"
INTERVENTION SPECIALIST; TEACHER,"$113,047.00"
INTERVENTION SPECIALIST; TEACHER,"$113,005.00"
TEACHER,"$112,987.50"
INTERVENTION SPECIALIST; TEACHER,"$112,960.64"
GUIDANCE COUNSELOR MS 197,"$112,877.86"
TEACHER,"$112,875.78"
INTERVENTION SPECIALIST; TEACHER,"$112,800.64"
ADMIN; DIRECTOR SERS,"$112,800.40"
TEACHER,"$112,746.90"
INTERVENTION SPECIALIST,"$112,709.28"
TEACHER,"$112,646.03"
TEACHER,"$112,629.36"
INTERVENTION SPECIALIST,"$112,629.36"
INTERVENTION SPECIALIST,"$112,629.36"
TEACHER,"$112,585.04"
TEACHER,"$112,515.00"
TEACHER,"$112,471.39"
TEACHER,"$112,465.79"
TEACHER,"$112,388.50"
TEACHER,"$112,265.00"
TEACHER,"$112,260.00"
TEACHER,"$112,251.54"
TEACHER,"$112,222.00"
INTERVENTION SPECIALIST; TEACHER,"$112,185.04"
TEACHER,"$112,135.00"
ADMIN; SUPERVISOR STRS,"$112,133.80"
TEACHER,"$112,110.00"
ADAPTED PHYS EDUCATION; TEACHER,"$112,110.00"
TEACHER,"$112,110.00"
EL SPECIALIST; TEACHER,"$111,911.61"
ASST DIRECTOR SERS,"$111,885.80"
TEACHER,"$111,867.14"
GUIDANCE COUNSELOR MS 197; TEACHER,"$111,864.84"
TEACHER,"$111,768.29"
TEACHER,"$111,748.74"
TEACHER,"$111,735.00"
INTERVENTION SPECIALIST,"$111,710.00"
EL SPECIALIST,"$111,710.00"
INTERVENTION SPECIALIST,"$111,710.00"
INTERVENTION SPECIALIST; TEACHER,"$111,669.28"
ADMIN; ES & MS PRINCIPAL,"$111,650.80"
INTERVENTION SPECIALIST; TEACHER,"$111,596.68"
GUIDANCE COUNSELOR ES 191; TEACHER,"$111,528.73"
ADMIN; DIRECTOR SERS,"$111,515.40"
GUIDANCE COUNSELOR HS 200,"$111,511.67"
TEACHER,"$111,444.04"
TEACHER,"$111,294.00"
MATH SPECIALIST; TEACHER,"$111,294.00"
TEACHER,"$111,294.00"
TEACHER,"$111,274.64"
MATH SPECIALIST; TEACHER,"$111,264.29"
TEACHER,"$111,232.60"
TEACHER,"$111,232.04"
TEACHER,"$111,186.28"
TEACHER,"$111,133.64"
TEACHER,"$111,054.89"
TEACHER,"$111,042.92"
TEACHER,"$110,994.89"
TEACHER,"$110,976.00"
LIBRARY/MEDIA SPC ES; TEACHER,"$110,939.69"
LITERACY SPECIALIST; TEACHER,"$110,912.89"
TEACHER,"$110,894.70"
TEACHER,"$110,742.64"
TEACHER,"$110,689.97"
GUIDANCE COUNSELOR ES 191,"$110,651.96"
INTERVENTION SPECIALIST; TEACHER,"$110,555.64"
ADMIN; STATISTICIAN,"$110,537.80"
SUP-ACAD; TEACHER,"$110,432.61"
ADMIN; ES & MS PRINCIPAL,"$110,195.00"
INTERVENTION SPECIALIST; TEACHER,"$110,166.18"
ADMIN; DIRECTOR STRS,"$110,162.50"
ADMIN; ASST DIRECTOR STRS,"$110,154.60"
TEACHER,"$110,133.14"
TEACHER,"$110,105.64"
TEACHER,"$110,055.64"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$109,990.00"
TEACHER,"$109,745.64"
INTERVENTION SPECIALIST; TEACHER,"$109,671.14"
TEACHER,"$109,610.04"
INTERVENTION SPECIALIST; TEACHER,"$109,546.64"
TEACHER,"$109,519.84"
TEACHER,"$109,477.68"
TEACHER,"$109,259.70"
TEACHER,"$109,255.64"
TEACHER,"$109,255.64"
TEACHER,"$109,255.64"
TEACHER,"$109,255.64"
GUIDANCE COUNSELOR HS 200; TEACHER,"$109,219.53"
TEACHER,"$109,158.13"
LIBRARY/MEDIA SPC ES; TEACHER,"$108,987.71"
TEACHER,"$108,875.05"
ADMIN; HS PRINCIPAL,"$108,869.30"
INTERVENTION SPECIALIST,"$108,855.64"
INTERVENTION SPECIALIST,"$108,855.64"
INTERVENTION SPECIALIST,"$108,855.64"
TEACHER,"$108,855.64"
ADMIN; MS & HS ASST PRINCIPAL,"$108,804.30"
TEACHER,"$108,718.39"
INTERVENTION SPECIALIST; TEACHER,"$108,687.68"
TEACHER,"$108,679.64"
TEACHER,"$108,673.93"
INTERVENTION SPECIALIST; TEACHER,"$108,566.46"
